CustomerID,Name,Phone,Email
C0001,Lakshit Kant,9.16845E+11,misha38@gmail.com
C0002,Uthkarsh Mannan,9.19741E+11,anahita89@gmail.com
C0003,Shamik Swaminathan,9.19517E+11,riya25@gmail.com
C0004,Hazel Ram,9.18204E+11,yuvraj-ganguly@gmail.com
C0005,Uthkarsh Toor,9.19604E+11,rasha82@gmail.com
C0006,Manikya Bala,9.17062E+11,bosemanjari@gmail.com
C0007,Gatik Biswas,9.17735E+11,utoor@gmail.com
C0008,Ishaan Dayal,9.16988E+11,sathetiya@gmail.com
C0009,Samiha Jain,9.19517E+11,vohranishith@gmail.com
C0010,Ryan Dhawan,9.17596E+11,shlokbatta@gmail.com
C0011,Tiya Thaman,9.16815E+11,batramyra@gmail.com
C0012,Gokul Bawa,9.17026E+11,ywalia@gmail.com
C0013,Aaryahi Luthra,9.18399E+11,othakur@gmail.com
C0014,Arhaan Bora,9.19389E+11,indrajitchandran@gmail.com
C0015,Himmat Rege,9.16802E+11,srinivaskhushi@gmail.com
C0016,Nirvi Sarma,9.18637E+11,baliindranil@gmail.com
C0017,Shray Bhatt,9.17826E+11,santmannat@gmail.com
C0018,Hazel Chokshi,9.19455E+11,anyataneja@gmail.com
C0019,Nitya Rajagopal,9.1709E+11,suppal@gmail.com
C0020,Mehul Sandal,9.18139E+11,shamikbhagat@gmail.com
C0021,Mahika Gaba,9.1927E+11,ksundaram@gmail.com
C0022,Ahana  Buch,9.16889E+11,aptemahika@gmail.com
C0023,Rohan Kalla,9.1838E+11,preraksaraf@gmail.com
C0024,Azad Chowdhury,9.16493E+11,chanaparinaaz@gmail.com
C0025,Mamooty Singh,9.16746E+11,daliavanya@gmail.com
C0026,Shanaya Sunder,9.16109E+11,yakshitbalasubramanian@gmail.com
C0027,Diya Shankar,9.18812E+11,eshaniguha@gmail.com
C0028,Tarini Koshy,9.19893E+11,dugarjayan@gmail.com
C0029,Saksham Bassi,9.19946E+11,kondayuvaan@gmail.com
C0030,Navya Thakkar,9.18207E+11,mannat98@gmail.com
C0031,Biju Gade,9.16367E+11,ranbir32@gmail.com
C0032,Shayak Dewan,9.16884E+11,armaansandhu@gmail.com
C0033,Nakul Madan,9.19474E+11,madhup05@gmail.com
C0034,Jivin Apte,9.16363E+11,ishaanwagle@gmail.com
C0035,Vritika Bobal,9.16873E+11,swalia@gmail.com
C0036,Arnav Chauhan,9.17604E+11,wsura@gmail.com
C0037,Tejas Devan,9.16697E+11,vkapadia@gmail.com
C0038,Sana Kadakia,9.16005E+11,onkarrajagopal@gmail.com
C0039,Raghav Kapur,9.17222E+11,akarsh40@gmail.com
C0040,Sahil Babu,9.17513E+11,ckhanna@gmail.com
C0041,Aaryahi Raval,9.19353E+11,kashvidugar@gmail.com
C0042,Shayak Chanda,9.19496E+11,iben@gmail.com
C0043,Devansh Jayaraman,9.1698E+11,madhavbalan@gmail.com
C0044,Divit Sant,9.17806E+11,mehulkarnik@gmail.com
C0045,Shanaya Chadha,9.18272E+11,zarabuch@gmail.com
C0046,Tarini Iyengar,9.16927E+11,kairakeer@gmail.com
C0047,Ishita Choudhry,9.1979E+11,vaidyavanya@gmail.com
C0048,Ojas Krishnan,9.19456E+11,ckulkarni@gmail.com
C0049,Ivan Shanker,9.19281E+11,pariborah@gmail.com
C0050,Manjari Kota,9.1976E+11,ryanvenkatesh@gmail.com
C0051,Baiju Anne,9.16828E+11,adirakumer@gmail.com
C0052,Misha Deshpande,9.19911E+11,isachar@gmail.com
C0053,Divyansh Dhaliwal,9.19297E+11,chowdhuryyashvi@gmail.com
C0054,Ivana Srivastava,9.19511E+11,chandrakanav@gmail.com
C0055,Advika Sharma,9.16186E+11,hchakrabarti@gmail.com
C0056,Vardaniya Halder,9.18216E+11,grewalritvik@gmail.com
C0057,Oorja Buch,9.18298E+11,manjarishanker@gmail.com
C0058,Himmat Chaudhary,9.17271E+11,rsubramaniam@gmail.com
C0059,Jivin Madan,9.19478E+11,ubuch@gmail.com
C0060,Divyansh Dutta,9.19772E+11,rhea37@gmail.com
C0061,Adah Bains,9.17346E+11,divyanshhans@gmail.com
C0062,Saanvi Vasa,9.18517E+11,wmalhotra@gmail.com
C0063,Yasmin Mangal,9.1753E+11,nayantara23@gmail.com
C0064,Damini Kala,9.16656E+11,nishith80@gmail.com
C0065,Shaan Batta,9.1685E+11,gopalayesha@gmail.com
C0066,Amira Ravel,9.17776E+11,aayushshan@gmail.com
C0067,Faiyaz Dave,9.17079E+11,okaran@gmail.com
C0068,Vedika Gokhale,9.17658E+11,gulatisuhana@gmail.com
C0069,Elakshi Dutta,9.16195E+11,amiradeep@gmail.com
C0070,Sana Kapadia,9.17612E+11,vlad@gmail.com
C0071,Samiha Sankar,9.18587E+11,keyachaudhry@gmail.com
C0072,Krish Chaudhari,9.17191E+11,dharmajanthakkar@gmail.com
C0073,Lakshit Kaur,9.16775E+11,zdey@gmail.com
C0074,Mohanlal Ben,9.18274E+11,nayantaradubey@gmail.com
C0075,Navya Doctor,9.1768E+11,drishyachaudhuri@gmail.com
C0076,Myra Sani,9.17032E+11,shayakghose@gmail.com
C0077,Arnav Yohannan,9.16572E+11,hchandra@gmail.com
C0078,Kimaya Tiwari,9.1698E+11,nirvaanvarty@gmail.com
C0079,Vidur Bajaj,9.18676E+11,kannannayantara@gmail.com
C0080,Nayantara Ahluwalia,9.17354E+11,yuvraj-20@gmail.com
C0081,Shray Loyal,9.17561E+11,wadhwabhavin@gmail.com
C0082,Aayush Soni,9.18184E+11,badal17@gmail.com
C0083,Yuvraj  Hora,9.18511E+11,shalv05@gmail.com
C0084,Lagan Hayre,9.16423E+11,kborah@gmail.com
C0085,Hazel Sood,9.16126E+11,manikyalala@gmail.com
C0086,Yuvaan Chaudhuri,9.18364E+11,rohansachar@gmail.com
C0087,Yakshit Bhargava,9.16627E+11,sumergopal@gmail.com
C0088,Bhavin Dash,9.18704E+11,nakulchowdhury@gmail.com
C0089,Zaina Walia,9.19307E+11,eva91@gmail.com
C0090,Rohan Suresh,9.17513E+11,vbir@gmail.com
C0091,Piya Banik,9.16309E+11,andrainaaya@gmail.com
C0092,Divyansh Cherian,9.18256E+11,mgoda@gmail.com
C0093,Yasmin Loyal,9.19648E+11,armaanraj@gmail.com
C0094,Tushar Kata,9.18636E+11,darshit93@gmail.com
C0095,Ranbir Sahota,9.19491E+11,sachdevsaksham@gmail.com
C0096,Kartik Shanker,9.17663E+11,samiha18@gmail.com
C0097,Manjari Bala,9.17834E+11,dasmiraan@gmail.com
C0098,Priyansh Dutt,9.19462E+11,bdass@gmail.com
C0099,Anika Dutt,9.18138E+11,chopranavya@gmail.com
C0100,Ishita Agrawal,9.16564E+11,yakshitdin@gmail.com
C0101,Purab Bansal,9.16244E+11,manifaiyaz@gmail.com
C0102,Riya Bedi,9.17195E+11,xloke@gmail.com
C0103,Jayant Baral,9.19796E+11,valakabir@gmail.com
C0104,Jhanvi Hegde,9.18386E+11,kartikedwin@gmail.com
C0105,Kismat Sharaf,9.16048E+11,kashvisodhi@gmail.com
C0106,Kaira Ghosh,9.18355E+11,sumershanker@gmail.com
C0107,Lavanya Lall,9.16748E+11,vidur16@gmail.com
C0108,Vihaan Trivedi,9.17941E+11,iseth@gmail.com
C0109,Eva Subramanian,9.18744E+11,randra@gmail.com
C0110,Mahika Dara,9.17902E+11,amira63@gmail.com
C0111,Nirvi Mahajan,9.16502E+11,stuvansehgal@gmail.com
C0112,Ojas Kumar,9.16623E+11,xagrawal@gmail.com
C0113,Saanvi Khatri,9.17208E+11,chopranakul@gmail.com
C0114,Diya Kade,9.18226E+11,subramaniananahi@gmail.com
C0115,Onkar Butala,9.17098E+11,rdivan@gmail.com
C0116,Nakul Iyengar,9.17088E+11,riaan24@gmail.com
C0117,Damini Mallick,9.1637E+11,jsoni@gmail.com
C0118,Elakshi Aggarwal,9.16648E+11,tara27@gmail.com
C0119,Tara Bava,9.19676E+11,parinaaz84@gmail.com
C0120,Sana Tripathi,9.17645E+11,kavya19@gmail.com
C0121,Pari Sood,9.1907E+11,kimayagera@gmail.com
C0122,Faiyaz Shankar,9.1736E+11,devanshramanathan@gmail.com
C0123,Kimaya Dalal,9.19367E+11,oorja07@gmail.com
C0124,Lakshit Halder,9.1868E+11,batramahika@gmail.com
C0125,Raghav Sabharwal,9.16847E+11,pdevi@gmail.com
C0126,Miraan Tripathi,9.19528E+11,zdara@gmail.com
C0127,Aaina Vig,9.18435E+11,lavanyachaudhry@gmail.com
C0128,Darshit Keer,9.17947E+11,shankartanya@gmail.com
C0129,Yakshit Manda,9.17994E+11,pdhingra@gmail.com
C0130,Bhavin Bhattacharyya,9.17365E+11,rhea36@gmail.com
C0131,Zaina Kumar,9.19698E+11,sarafmiraan@gmail.com
C0132,Ivan Aggarwal,9.19929E+11,anaya55@gmail.com
C0133,Eva Chandra,9.16622E+11,riyer@gmail.com
C0134,Dhanush Bhalla,9.19124E+11,adahsekhon@gmail.com
C0135,Jayant Bansal,9.1922E+11,dhruv78@gmail.com
